question;subject;comment;longitudeETRSGK25;latitudeETRSGK25
Keskustan tinkimätön helmi;upea puisto  näkölatasanne ois kiva  myös...;upea puisto  näkölatasanne ois kiva  myös joku pieni minibussi-linja jolla paikalle pääsisi pikkulapset ja vanhat;25497503,934995500;6672109,175000000
Keskustan tinkimätön helmi;kiva vehreä alue  hiekkakenttä ja...;kiva vehreä alue  hiekkakenttä ja pari keinua  penkit ja kioski voisi lisätä;25496050,824948600;6674450,065000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;hieno yhdistelmä: leffat ja museo;hieno yhdistelmä: leffat ja museo;25496147,984851500;6672953,460000000
Hankala kulkea jalan.;epämukava risteys talvella pimeällä...;epämukava risteys talvella pimeällä liukkaalla;25496376,765122700;6672854,405000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;hyvä ettei enää bussiparkkipaikka...;hyvä ettei enää bussiparkkipaikka;25496461,430038000;6673013,905000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;onneksi tässä ei enää makuuteta...;onneksi tässä ei enää makuuteta busseja  mutta torin voisi elävöittää  aleksis kivelle kunnon kyltti jossa miehen cv ja teokset   kahvio, kioski, isoja puita toria halkomaan  maisema ateneumiin päin ankea,   kävely ja pyöräily tungettu to;25496882,265117200;6673154,125000000
Hankala kulkea jalan.;pyörät ja kävelijät ahdettu ajoradan...;pyörät ja kävelijät ahdettu ajoradan viereen   torin reunassa voisi olla joku reunus ja kunnon alueet kulkijoille  eroteltuna modernisti  tai vaikka kukkalaatikoilla kesäkaudella?;25496900,040099400;6673091,405000000
Virkistävä paikka;hieno alue;hieno alue;25496874,265125200;6673446,905000000
Kehittämisideani tälle paikalle!;pikkubussiliikennereitti tästä hakaniemeen...;pikkubussiliikennereitti tästä hakaniemeen tai töölöön;25496802,710196700;6673581,295000000
Kehittämisideani tälle paikalle!;niemen nokkaan joku levennys, maisema...;niemen nokkaan joku levennys, maisema kuitenkin  hieno;25496927,210072200;6673910,180000000
Keskustan tinkimätön helmi;aivan ihana;aivan ihana;25496649,209850200;6672562,125000000
Kehittämisideani tälle paikalle!;laivakahvila esim purjelaiva höyrylaiva...;laivakahvila esim purjelaiva höyrylaiva siipiratas;25495883,700115800;6671902,025000000
Kehittämisideani tälle paikalle!;lapinlahden tiloihin toimintaa  kuntouttavaa...;lapinlahden tiloihin toimintaa  kuntouttavaa  ennaltaehkäisevää lapsille nuorille  tai vaikka hotelli;25495178,819820600;6672810,905000000
Kehittämisideani tälle paikalle!;Täältä rantaviivan tuntumassa olevalta...;Täältä rantaviivan tuntumassa olevalta tieltä pitäisi pyöräilijät saada ehdottomasti heille rakennetulle, aivan vieressä kulkevalle väylälle! Kehitetään myös jalankulkua:);25497678,499821000;6671174,500000000
Kehittämisideani tälle paikalle!;Näillä kulmilla on hyvin pyöräilyväyliä,...;Näillä kulmilla on hyvin pyöräilyväyliä, mutta silti pyöräilijät ajelevat katukäytävillä. Miten saisi pyöräilijät noudattamaan liikennevaloja?;25496342,500157000;6672266,500000000
Hankala kulkea jalan.;Tässä pyöräilyväylää ajelevat...;Tässä pyöräilyväylää ajelevat eivät kiinnitä huomiota valo-ohjaukseen, vaan jalankulkijoiden on oltava tarkkana ylittäessään Eteläesplanadia puiston puolelle, kaikki liikennevalokohdat!;25497154,499845000;6672722,500000000
Kehittämisideani tälle paikalle!;Autoväylät pois ja puistobulevardi...;Autoväylät pois ja puistobulevardi kävelijöille!;25496708,499791000;6672841,500000000
Virkistävä paikka;Pusikoiden takana penkit, joilta näkymä...;Pusikoiden takana penkit, joilta näkymä Katajannokalle ja merelle mahtava paikka rauhoittua!;25497506,999992500;6672139,000000000
Keskustan tinkimätön helmi;Kirkon päällä olevat Kalliot todella...;Kirkon päällä olevat Kalliot todella virkistävää hälyisen Runeberginkatuun verrattuna.;25495839,500160000;6673380,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496735,999763500;6672871,000000000
Virkistävä paikka;Vain karttamerkintä;;25496011,999987500;6672615,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25496743,999755500;6673059,000000000
Meluisa paikka;Vain karttamerkintä;;25496320,000179500;6672775,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Ihana mesta hengata kavereiden kanssa...;Ihana mesta hengata kavereiden kanssa ja pitää tukikohtana. Tääl voisi kyllä olla vähän paremmin penkkejä/portaita. Sijainti on super, ja veden vieressä ajatukset juoksee.;25497140,499859000;6673776,500000000
Virkistävä paikka;Sompasauna on Helsingin ihanin paikka!...;Sompasauna on Helsingin ihanin paikka! Tääl voi uida ja katella vesielämää. Ja usein tapaa uusia ihmisiä.;25498638,499860900;6673660,500000000
Keskustan tinkimätön helmi;Hakaniemen halli on ihan must! Ihana...;Hakaniemen halli on ihan must! Ihana tunnelma ja hyvää ruokaa!;25497289,500210000;6674126,500000000
Kehittämisideani tälle paikalle!;Kasvitieteellinen puutarha vois olla...;Kasvitieteellinen puutarha vois olla ilmainen ja vähän paremmin auki. Täällä olis ihana rentoutua ja vaikka tavata ihmisiä, mutta ei jotenkaan ikinä tuu mentyä. Tai sit täällä vois olla jotain toimintaa mikä sais tulemaan paikalle.;25497018,499981000;6673586,500000000
Meluisa paikka;Hämeentieltä yksityisautot muualle!...;Hämeentieltä yksityisautot muualle! Tää alue on mulle Helsingin sydän, mutta sen keskeisin katu on vaan läpikulkuväylä johonkin muualle. Olis ihanaa jos Hämeentie olis vähän puistokatumainen missä menis bussit ja ratikat ja pyörät, ja s;25497460,500039000;6674290,500000000
Hankala kulkea jalan.;koska Hämeentiellä moni pyöräilee...;koska Hämeentiellä moni pyöräilee alkakäytävällä, on siellä aika epämukavaa kulkea jalan, varsinkin kun jalankulkutie on välillä vähän kapeampi.;25497435,500064000;6674269,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Tässä kohtaavat bussit, metrot ja...;Tässä kohtaavat bussit, metrot ja junat, ja tietysti jalankulkijat ja pyöräilijät, joten hyvä paikka kohtaamiselle. ja paljon kaupunkipöhinää tottakai.;25496757,500242000;6673130,300000000
Virkistävä paikka;Kasvien katveessa on aina virkistävää....;Kasvien katveessa on aina virkistävää.;25497022,499977000;6673596,100000000
Keskustan tinkimätön helmi;Saaristoluontoa kivenheiton päässä...;Saaristoluontoa kivenheiton päässä keskustasta.;25497576,499923000;6670846,900000000
Meluisa paikka;Helsingin päärautatieaseman edusta...;Helsingin päärautatieaseman edusta on häpeällinen. Paikalla on runsaasti tilaa vieviä parkkipaikkoja, vaikka tältä kohdalta kulkee valtaosa pääkaupunkiseudun matkaajista turisteista puhumattakaan. Euroopan pääkaupungeissa päärautatieasem;25496756,000243500;6673070,500000000
Turvaton paikka;Päärautatieaseman edusta on meluisuuden,...;Päärautatieaseman edusta on meluisuuden, harmauden ja ahtauden lisäksi turvaton. Alueella kulkee runsaasti ihmisiä autojen rymistäessä vieressä. Usein olen törmännyt tilanteeseen, jossa ahtaus on luonut painetta myös autotien suuntaan. Park;25496746,999752500;6673068,500000000
Hankala kulkea jalan.;Päärautatieaseman edusta on hankala...;Päärautatieaseman edusta on hankala kulkea jalan sen ahtauden vuoksi. Parkkipaikat ja liikenne rajaavat jalankulkijat erittäin pieneen rakoon tällä tiheästi kuljetulla alueella. Alueen selkeyttäminen muuttaisi edustan huomattavasti viihtyisäm;25496765,500234000;6673067,500000000
Kehittämisideani tälle paikalle!;Päärautatieaseman edustalta tulisi...;Päärautatieaseman edustalta tulisi poistaa parkkipaikat (esim. siirtämällä ne elielinaukion puolelle tai parkkihalliin). Nämä autolijoiden kannalta marginaalisen merkityksen paikat vaikuttavat kaupunkikuvaan ja alueen läpikulkuun erittäin ne;25496753,000246500;6673061,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Keskuskatu kävelykatuna on erittäin...;Keskuskatu kävelykatuna on erittäin toimiva ja tervetullut muutos. Yhdistää ympäristöä jalankulkijan kannalta tehokkaasti. Vielä kun saisi notkeasti yhdistettyä rautatieaseman edustaan.;25496822,000177500;6673011,500000000
Kehittämisideani tälle paikalle!;Aurinkoinen pohjoisesplanadi olisi hyvä...;Aurinkoinen pohjoisesplanadi olisi hyvä saada kävelykaduksi. Linkittyisi tehokkaasti ympäröiviin kävelykatuihin. Alueella kävelee runsaasti turisteja ja kaupunkilaisia, joten kahviloille ym. toimeliaisuudelle soisi olevan enemmän tilaa alueell;25496937,000062500;6672765,500000000
Kehittämisideani tälle paikalle!;Baana pitäisi saada jatkumaan Töölönlahden...;Baana pitäisi saada jatkumaan Töölönlahden poikki / rautatieaseman ali tai ohi, jotta siirtyminen Hakaniemeen / Kallioon olisi sujuvaa myös pyöräillen.;25496086,999912500;6673037,500000000
Meluisa paikka;BLEEEP! BLEEP! BLEEP! Raitiovaunun varoitusääni,...;BLEEEP! BLEEP! BLEEP! Raitiovaunun varoitusääni, voiko senn korvata millään?;25496520,499979000;6673088,500000000
Hankala kulkea jalan.;Uudenmaan kadun ylittäminen ainakin...;Uudenmaan kadun ylittäminen ainakin kertaa pysähtymättä joihinkin kolmesta jalankulkijavaloista on todella vaikeata.;25497252,000247500;6673451,000000000
Keskustan tinkimätön helmi;Mikonkadun kävelykatu on keskustan...;Mikonkadun kävelykatu on keskustan tinkimätön helmi. Kaupungin liikennesuunnittelun asiantuntijat ovat suunnitelleet sinne kulkemaan kolmosen raitiovaunun.;25496981,000018500;6672944,000000000
Turvaton paikka;Mannerheimintie on jalankulkijalle todella...;Mannerheimintie on jalankulkijalle todella vaarallinen. Autoilijat eivät välitä liikennevalottomista suojateistä ja vanhoilla vihreilläkin mennään aika surutta. Tämä koskee valitettavasti hyvin paljon myös busseja - liikenteen ammattilaisia;25495840,000159500;6674483,000000000
Turvaton paikka;Vain karttamerkintä;;25496972,000027500;6673495,000000000
Meluisa paikka;Vain karttamerkintä;;25496350,000149500;6673371,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25496860,000139500;6672635,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496814,000185500;6672303,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496579,999919500;6672139,000000000
Virkistävä paikka;Vain karttamerkintä;;25495942,000057500;6672043,000000000
Virkistävä paikka;Vain karttamerkintä;;25497509,999989500;6672771,000000000
Hankala kulkea jalan.;Onko tämän pakko olla näin leveä?...;Onko tämän pakko olla näin leveä? Todella meluisa ja epämiellyttävä kuilu;25496984,000015500;6673099,000000000
Hankala kulkea jalan.;Olisiko järkevää saada parempaa yhteyttä...;Olisiko järkevää saada parempaa yhteyttä Aleksi-Kalevankatu? Nyt Manskun ylittäminen hieman hankalaa.;25496711,999787500;6672821,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Toimii ok. Vielä enemmän jotain;Toimii ok. Vielä enemmän jotain;25496373,000126500;6672970,000000000
Virkistävä paikka;Kävelykatu toimii älyttömän hyvin...;Kävelykatu toimii älyttömän hyvin aina Ateneuminkujalta Senaatintorille asti.;25497141,999857500;6672999,000000000
Keskustan tinkimätön helmi;Upea.;Upea.;25497521,999977400;6671417,000000000
Meluisa paikka;Liikaa melua. Autot pois keskustasta...;Liikaa melua. Autot pois keskustasta mahdollisimman pitkälle.;25496435,000064500;6673191,000000000
Hankala kulkea jalan.;Reitti Kauppatorilta Pohjoisrantaan...;"Reitti Kauppatorilta Pohjoisrantaan on hankala pyöräilijöille ja kävelijöille; väylä on kapea, reunakivet ja kaivonkannet paikoin korkeita ja lisäksi kävelijöiden reitti epäselvä. Pyörätie tulisi merkitä selvästi myös suojatiealueell";25497639,999859500;6672823,000000000
Kehittämisideani tälle paikalle!;Radan ylitys tai alitus poikittaiselle...;Radan ylitys tai alitus poikittaiselle pyöräliikenteelle on jollain tapaa tarpeen tai sitten Kaivokadun luonteen on muututtava huomattavasti.;25496707,999791500;6673487,000000000
Hankala kulkea jalan.;Jalankulku ja pyöräily Mannerheimintieltä...;Jalankulku ja pyöräily Mannerheimintieltä Pitkälle sillalle on paikoin vaikeaa, epäselvää ja epämiellyttävää. Mikä on Kaivokadun tulevaisuus?;25496876,000123500;6673075,000000000
Meluisa paikka;Bussirallin äänet ovat välillä sietämättömi...;Bussirallin äänet ovat välillä sietämättömiä.;25497067,999931500;6673207,000000000
Kehittämisideani tälle paikalle!;Täydennysrakentamista ja eloa Siltavuorensalmen...;Täydennysrakentamista ja eloa Siltavuorensalmen rannoille?;25497472,500027000;6673812,500000000
Meluisa paikka;Liikenneympäristön mittakaava massiivista,...;Liikenneympäristön mittakaava massiivista, ajonopeudet suuria ja melu kova.;25497709,999789500;6673787,000000000
Turvaton paikka;Suojateitä ei kunnioiteta ja ajonopeudet...;Suojateitä ei kunnioiteta ja ajonopeudet ovat suuria.;25497798,000201500;6673755,000000000
Hankala kulkea jalan.;Laillinen pyöräilyreitti epäselvä....;Laillinen pyöräilyreitti epäselvä.;25498549,999949500;6672859,000000000
Hankala kulkea jalan.;Jalankulkijoille ja pyöräilijöille...;"Jalankulkijoille ja pyöräilijöille ylimääräinen tienylitys; toivottavasti Erottajan liikennesuunnitelma toteutetaan pian.";25496834,000165500;6672667,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;"Kanavanvarsin on liikennevirtojen kohtauspaikka;...";"Kanavanvarsin on liikennevirtojen kohtauspaikka; harmittavan ahdas.";25497705,999793500;6672827,000000000
Hankala kulkea jalan.;Pyöräilijät useasti jalkakäytävillä,...;Pyöräilijät useasti jalkakäytävillä, koska mukulakiveen ei ole tehty pyöräilyyn sopivaa tasaista kiveystä.;25497262,000237500;6673075,000000000
Kehittämisideani tälle paikalle!;Liisankadusta pääkatu, jolle Kruununvuorenrannan...;Liisankadusta pääkatu, jolle Kruununvuorenrannan raitioliikenne sekä yksisuuntaiset pyöräkaistat.;25497565,999933500;6673487,000000000
Turvaton paikka;Pyöräilijöiden reitti epäselvä,...;Pyöräilijöiden reitti epäselvä, joka aiheuttaa hämminkiä myös jalankulkijoille.;25497250,000249500;6671391,000000000
Kehittämisideani tälle paikalle!;Kaupungin parhaat rannat eivät voi...;Kaupungin parhaat rannat eivät voi olla pelkkää parkkipaikkaa! Paviljonkikahviloita ja muuta eloa tuovaa rannoille.;25497450,000049500;6672631,000000000
Hankala kulkea jalan.;Pyörätien luonnollinen paikka olisi...;Pyörätien luonnollinen paikka olisi ajokaistan puolella ei kauppahallia kiertäen, aiheuttaa vaaraa nykyisellään kävelijöille.;25497386,000113500;6672583,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Nyt meluisaa liikennealuetta ja tyhjää...;"Nyt meluisaa liikennealuetta ja tyhjää aukiota; voisiko olla ympärivuotista paviljonkia kahviloineen?";25496878,000121500;6673167,000000000
Virkistävä paikka;Ranta on hienoa mutta hyödyntämätöntä....;Ranta on hienoa mutta hyödyntämätöntä.;25497498,000001500;6673739,000000000
Keskustan tinkimätön helmi;"Koffin puistossa kaikki on kohdallaan;...";"Koffin puistossa kaikki on kohdallaan; sijainti, näkymät ja paljon ihmisiä.";25496302,000197500;6672071,000000000
Kehittämisideani tälle paikalle!;Puiston saavutettavuus kadulta paremmaksi....;Puiston saavutettavuus kadulta paremmaksi.;25497494,000005500;6672191,000000000
Turvaton paikka;Aamuruuhkassa kovat nopeudet ja röyhkeää...;Aamuruuhkassa kovat nopeudet ja röyhkeää liikennekäyttäytymistä.;25497278,500221000;6672894,500000000
Hankala kulkea jalan.;Torikortteleissa huoltoajo todella usein...;Torikortteleissa huoltoajo todella usein jalkakäytävillä - pahimmillaan jalankulkija joutuu ajoradalle. Eikö huoltoajoa voisi hoitaa pienemmällä kalustolla kuten muualla Euroopassa eikä rekoilla?;25497338,500161000;6672816,500000000
Kehittämisideani tälle paikalle!;Jalankulkijoiden ja pyöräilijöiden...;Jalankulkijoiden ja pyöräilijöiden kannalta lähes tarpeettomat valot Tervasaarenkannaksen ylitykseen.;25497920,500079000;6673486,500000000
Kehittämisideani tälle paikalle!;Voisiko täällä ja muualla olevista...;Voisiko täällä ja muualla olevista jalankulkijoiden ja pyöräilijöiden kiusantekonapinpainelusta jo luopua. Kaikilla tulisi olla oikeus tienylitykseen lupia pyytelemättä.;25497236,499763000;6673664,500000000
Turvaton paikka;Vaarallinen risteys jalankulkijalle,...;Vaarallinen risteys jalankulkijalle, Puistokadulla autot eivät noudata 30 km/h nopeusrajoitusta, risteyksessä on huono näkyvyys;25497380,000119500;6671635,000000000
Hankala kulkea jalan.;Risteyksessä jatkuu matka Kaivopuistoon....;Risteyksessä jatkuu matka Kaivopuistoon. Sinne johtavan yhdistetyn jalankulku- ja pyörätien ylittäminen puistoon on vaarallista, sillä pyöräilijät eivät välttämättä ota huomioon jalankulkijoita.;25497400,000099500;6671611,000000000
Kehittämisideani tälle paikalle!;Kansalaistorin alue kaipaa kehittämistä....;Kansalaistorin alue kaipaa kehittämistä. Kaupungin paraatipaikalla oleva asfalttiaukio ei ole hyvä juttu. Isolla rahalla ei tarvitse tehdä, kunhan edes jotain pientä.;25496470,750028700;6673352,500000000
Virkistävä paikka;Töölönlahden rannat pitäisi säilyttää...;Töölönlahden rannat pitäisi säilyttää luonnonvaraisina. Ei tarvita mitään kelluvia saunoja, uimarantoja, keinoaltaita, rantabulevardeja, hotelleja tai maailmanpyöriä.;25496368,000131500;6673979,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496368,000131500;6672979,000000000
Virkistävä paikka;Vain karttamerkintä;;25495567,999931500;6673759,000000000
Keskustan tinkimätön helmi;Vain karttamerkintä;;25496727,999771500;6672899,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25496639,999859500;6673151,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25497370,000129500;6672738,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Pieni salakauppa piristää muuten meluista...;Pieni salakauppa piristää muuten meluista ja tapahtumarikasta paikkaa!;25496551,999947500;6673134,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25496529,999969500;6673096,000000000
Virkistävä paikka;Vain karttamerkintä;;25497280,000219500;6671380,000000000
Virkistävä paikka;Vain karttamerkintä;;25498235,999763500;6673354,000000000
Turvaton paikka;Vain karttamerkintä;;25496830,000169500;6673400,000000000
Meluisa paikka;Vain karttamerkintä;;25496681,999817500;6673982,000000000
Keskustan tinkimätön helmi;Hieno kohtaamispaikka;Hieno kohtaamispaikka;25496480,500019000;6673366,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Aina paljon ihmisiä ja tapahtumia;Aina paljon ihmisiä ja tapahtumia;25496376,500123000;6672996,500000000
Hankala kulkea jalan.;Ei pyöräkatua;Ei pyöräkatua;25497055,999943500;6673179,000000000
Kehittämisideani tälle paikalle!;Hyvä alue kävelykaduksi, mutta enemmän...;Hyvä alue kävelykaduksi, mutta enemmän penkkejä/ravintoloita/istutuksia;25496826,500173000;6672976,500000000
Kehittämisideani tälle paikalle!;Sopisi hyvin kävelykaduksi, edes osaksi...;Sopisi hyvin kävelykaduksi, edes osaksi aikaa päivästä/vuodesta;25497036,499963000;6672898,500000000
Meluisa paikka;Hieno puistoalue, mutta autojen äänet...;Hieno puistoalue, mutta autojen äänet häiritsevät ruuhka-aikaan;25497092,499907000;6672744,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Puiston sijainti, monipuolisuus, kehittämissuunni...;Puiston sijainti, monipuolisuus, kehittämissuunnitelmat ja hyvä sijainti myös julkisen liikenteen kannalta.;25496873,000126500;6673490,000000000
Virkistävä paikka;Mustikkamaata voisi kehittää, se on...;"Mustikkamaata voisi kehittää, se on jäänyt sivuun; sijainti on hyvä ja lähellä asuu paljon kaupunkilaisia, jotka ilahtuisivat paikan elävöittämisestä.";25499672,999826400;6674038,000000000
Keskustan tinkimätön helmi;Esplanadi ja Kauppatori puistoineen,...;"Esplanadi ja Kauppatori puistoineen, suihkulähteineen, rakennuksineen; kaikkineen. Siellä traditiot, ihmiset ja elämä kohtaavat. Mantan hotelli ei ollut hyvä idea kesällä 2014 juuri tämän takia sillä paikka kuuluu kaikille.";25497321,000178500;6672758,000000000
Kehittämisideani tälle paikalle!;Rohkeasti annettaisiin Hernesaaren kehittyä...;"Rohkeasti annettaisiin Hernesaaren kehittyä vihreäksi ja väljäksi alueeksi Jätkäsaaren viereen, joka olisi ulkoilijoille, veneilijöille, liikkujille(nuoret ja vanhat); jossa olisi myös työpaikkoja: autokorjaamo, -katsastus jne. helikopterili";25495813,000186500;6670860,000000000
Kehittämisideani tälle paikalle!;Kasvitieteellinen puutarha olisi hieno...;"Kasvitieteellinen puutarha olisi hieno kehittämiskohde kun ekologisuus on vihdoin saanut paljon ymmärrystä osakseen; mitä olisi urbaani puutarhanhoito; mitä lajeja voisi käyttää; mitä me voisimme tällä leveyspiirissä tehdä yms - potentia";25496993,000006500;6673598,000000000
Meluisa paikka;Lönkka on aika meluisa kun keskustan...;"Lönkka on aika meluisa kun keskustan läpiajoliikenne kulkee mm. sitä kautta; keskustatunneli olisi erinomainen investointi pitkällä tähtäimella: mm. Uudenmaankatu tulisi huomattavasti viihtyisämmäksi; kulttuuri ja jalankulkukeskustaa voitais";25496598,999900500;6672614,000000000
Turvaton paikka;Kluuvin kehittäminen tekisi paikasta...;Kluuvin kehittäminen tekisi paikasta valoisamman (vuodenajasta riippumatta) ja turvallisemman.;25496811,000188500;6673736,000000000
Hankala kulkea jalan.;Oopperan alue on liikenteen solmukohta,...;"Oopperan alue on liikenteen solmukohta, jota voisi kehittää (mm. keskustatunneli) kulttuurin tekemiseksi houkuttelevammaksi mm. satsaamalla estetiikkaan; ooppera voisi olla kannattavampi, jos sen toiminnalle luotaisiin paremmat edellytykset sen ark";25496056,999942500;6674296,000000000
Hankala kulkea jalan.;Elielin aukiolla on kävelijöiden reiteillä...;Elielin aukiolla on kävelijöiden reiteillä vammauttavan liukas päällystemateriaali talvella!;25496555,999943500;6673291,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Lapinlahden puisto;Lapinlahden puisto;25496014,499985000;6672599,500000000
Virkistävä paikka;Vain karttamerkintä;;25496304,500195000;6671215,500000000
Keskustan tinkimätön helmi;Vain karttamerkintä;;25497482,500017000;6672709,500000000
Meluisa paikka;Vain karttamerkintä;;25496774,500225000;6673027,500000000
Turvaton paikka;Risteys tarvitsee liikennevalot;Risteys tarvitsee liikennevalot;25495930,500069000;6672373,500000000
Hankala kulkea jalan.;Vain karttamerkintä;;25496664,499835000;6673127,500000000
Turvaton paikka;Espan ylittäminen on vaarallista. Autoilijat...;Espan ylittäminen on vaarallista. Autoilijat eivät välitä suojatiestä. Suojatien eteen pysäyttäneen auton ohittaminen viereiseltä kaistalta on normaalia tällä katuosuudella. Kamera- tai poliisivalvonta ja sakkorangaistus voisivat palauttaa;25497093,499906000;6672773,500000000
Hankala kulkea jalan.;Kluuvikatu on työmatkaväylä monelle...;Kluuvikatu on työmatkaväylä monelle Kaisaniemen metroasemaa käyttävälle. Jalankulkijoiden asema Kluuvikadulla huononi merkittävästi kun siitä tehtiin kävelykatu. Nyt kadun reunamat, joilla ennen oli jalankulkukäytävät, on täytetty ravin;25497087,499912000;6672845,500000000
Turvaton paikka;Unioninkatua etelään ajavalle autoilijalle/pyör...;Unioninkatua etelään ajavalle autoilijalle/pyöräilijälle hämmentävä suojatie, koska sen kohdalla ei ole autoilijalle/pyöräilijälle valo-ohjausta. Kun tienreunassa oli selvästi ylitysmahdollisuutta odottavia jalankulkijoita, lainkuuliaisen;25497284,000215500;6672754,500000000
Kehittämisideani tälle paikalle!;Simon puistikko, täysin avonainen rampin...;Simon puistikko, täysin avonainen rampin sisäänajo ja leveä puistikko. Mahtuisi hyvin talo tuohonkin väliin kun tuolla puistikolla ei ole mitään virkaa ainakaan puistona.;25496456,000043500;6672943,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Maisemat on jees;Maisemat on jees;25497519,999979500;6672111,000000000
Turvaton paikka;Olen lenkillä käydessäni joutunut...;Olen lenkillä käydessäni joutunut kohtaamaan koiriaan ulkoiluttavia ihmisiä. Ihmisillä on monesti tapana pitää koiriaan vapaana. Tämä ei ole minusta oikein, sillä en voi tietää, että onko minua päin juokseva koira oikeasti kiltti, kuten;25497424,000075500;6672167,000000000
Hankala kulkea jalan.;Ihmettelen tässä kohtaa avoimesti...;Ihmettelen tässä kohtaa avoimesti rehottavaa ihmiskauppaa iltaisin. Miksi se sallitaan?;25496694,499805000;6672822,500000000
Turvaton paikka;Olisi kiva nauttia kauppatorien ruokakojujen...;Olisi kiva nauttia kauppatorien ruokakojujen antimista, mutta kaupunki ei tee lokeille mitään. Miksi niiden määrää ei voisi rajoittaa?;25497430,500069000;6672746,500000000
Virkistävä paikka;Vapaana juoksevat koirat ovat iso miinus,...;Vapaana juoksevat koirat ovat iso miinus, mutta muuten keskustan ehdoton helmi.;25497344,500155000;6672154,500000000
Turvaton paikka;En uskalla oikaista tätä kautta iltaisin...;En uskalla oikaista tätä kautta iltaisin Kallioon.;25496922,500077000;6673588,500000000
Hankala kulkea jalan.;Kampin keskukseen on välillä hankala...;Kampin keskukseen on välillä hankala kulkea jalan, koska pääovilla tungeksii niin paljon ihmisiä. Osalle ihmisistä Kamppi on selkästi ajanviettopaikka. Onhan Kamppi tietysti mukava paikka, mutta ihmettelen, etteikö heille löydy esimerkiksi n;25496360,500139000;6672972,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Upea paikka, upea tunnelma. Mahtavaa...;Upea paikka, upea tunnelma. Mahtavaa niin monin eri tavoin!;25497288,500211000;6674016,500000000
Turvaton paikka;Vaihdan tässä metroon päivittäin....;Vaihdan tässä metroon päivittäin. Kuulen/näen lähes päivittäin jonkun oksentamassa/riehumassa/huutamassa/haistattelemassa yms.;25497968,500031000;6675048,500000000
Turvaton paikka;Epämääräinen paikka kaikkine ihmiskauppaan...;Epämääräinen paikka kaikkine ihmiskauppaan viittaavine liikkeineen.;25497588,499911000;6675062,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Upeasti kunnostettu puisto. Kesällä...;Upeasti kunnostettu puisto. Kesällä kiva kioskikahvila Bear Park cafe.;25497360,500139000;6674560,500000000
Virkistävä paikka;Kiva ja leppoisa pieni torialue keskellä...;Kiva ja leppoisa pieni torialue keskellä Punavuorta.;25496656,499843000;6672110,500000000
Kehittämisideani tälle paikalle!;Pyöräily ja kävely tulisi erottaa...;Pyöräily ja kävely tulisi erottaa selkeämmin toisistaan. Koskee koko Sturenkatua, mutta pahin paikka on Mäkelänkadun ja Teollisuuskadun väliin jäävä kohta, jossa sekavat pyörä- ja kävelymerkinnät aiheuttavat jatkuvia vaaratilanteita. Mo;25497568,999930500;6675668,000000000
Hankala kulkea jalan.;Kävelijät ja pyöräilijät pitäisi...;Kävelijät ja pyöräilijät pitäisi erotella paremmin. Jatkuvia vaaratilanteita, jotka johtuvat sekavista liikennemerkinnöistä. Alamäessä pyörillä kova vauhti, jatkuva pelko, että kävelijä ottaa sivuaskeleen ja jää fillarin alle.;25496781,000218500;6675888,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Monet julkiset tulevat kamppiin joten...;Monet julkiset tulevat kamppiin joten tuttuja on helppo nähdä täällä. Kiva myös, kun voi huonolla kelillä sopia tapaamispaikan sisätiloihin. Palveluita on paljon shoppailusta kahviloihin, ravintoloihin, leffateatteriin jne.;25496292,000207500;6672819,000000000
