Surname,Race,Number of occurrences among people self-identifying as this race,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as this race,U.S. Rank,U.S. total occurrences
LAFROMBOISE,Indians,225,1139,48.3%,43629,466
HANNA,Indians,224,1143,0.6%,887,35599
TALLEY,Indians,224,1143,0.8%,1101,29082
CAVANAUGH,Indians,224,1143,1.3%,1930,17137
STANTON,Indians,223,1146,0.6%,909,34812
MCNEIL,Indians,223,1146,0.7%,961,33239
WOFFORD,Indians,223,1146,2.6%,3843,8491
CHARETTE,Indians,223,1146,5.7%,7892,3891
STEVE,Indians,223,1146,11.0%,13675,2034
GENE,Indians,223,1146,42.2%,39176,529
BEYALE,Indians,223,1146,95.3%,76465,234
BITSUI,Indians,223,1146,97.8%,78035,228
ACOSTA,Indians,222,1154,0.3%,377,76477
HATCHER,Indians,222,1154,0.8%,1127,28424
HERBERT,Indians,222,1154,0.9%,1285,25224
PARISH,Indians,222,1154,1.6%,2327,14250
METOXEN,Indians,222,1154,66.9%,57406,332
YAHOLA,Indians,222,1154,84.7%,69854,262
MCLEAN,Indians,221,1160,0.5%,768,40871
SANFORD,Indians,221,1160,0.6%,888,35565
MURDOCK,Indians,221,1160,1.2%,1724,19041
MCMILLIAN,Indians,221,1160,2.0%,3020,11012
NOSIE,Indians,221,1160,82.5%,68569,268
KHAN,Indians,220,1165,0.5%,665,46713
WOODARD,Indians,220,1165,0.5%,696,44830
COFFEY,Indians,220,1165,0.6%,894,35442
JACOB,Indians,220,1165,1.0%,1541,21354
FERRIS,Indians,220,1165,1.1%,1585,20743
WADSWORTH,Indians,220,1165,2.3%,3406,9625
ZIMMERMAN,Indians,219,1171,0.3%,350,80944
DICKERSON,Indians,219,1171,0.4%,602,51017
ALFORD,Indians,219,1171,0.7%,1064,30050
FRANKS,Indians,219,1171,0.7%,1080,29531
SLATER,Indians,218,1175,0.7%,1013,31569
CHAMBERLAIN,Indians,218,1175,0.8%,1151,27928
HASTINGS,Indians,218,1175,0.8%,1183,27201
ROUSE,Indians,218,1175,0.9%,1292,25022
TIPTON,Indians,218,1175,0.9%,1303,24767
REECE,Indians,218,1175,0.9%,1400,23216
LECLAIR,Indians,218,1175,2.8%,4196,7836
OSCEOLA,Indians,218,1175,82.3%,69201,265
REDEAGLE,Indians,218,1175,84.5%,70679,258
BARRON,Indians,217,1184,0.5%,678,46196
RUSH,Indians,217,1184,0.6%,839,37470
ARCHER,Indians,217,1184,0.6%,958,33411
HOLMAN,Indians,217,1184,0.7%,1016,31514
HYDE,Indians,217,1184,0.8%,1121,28604
JAMISON,Indians,217,1184,0.8%,1211,26476
CONKLIN,Indians,217,1184,0.9%,1390,23371
VANWINKLE,Indians,217,1184,2.8%,4301,7630
LAROCQUE,Indians,217,1184,7.5%,10195,2903
QUAM,Indians,217,1184,8.9%,11803,2431
BUFFALO,Indians,217,1184,27.1%,28142,801
BRADSHAW,Indians,216,1195,0.5%,769,40794
MERCER,Indians,216,1195,0.6%,949,33797
PENN,Indians,216,1195,1.2%,1765,18601
THAYER,Indians,216,1195,1.3%,2014,16496
LANSING,Indians,216,1195,6.1%,8617,3515
JIMMIE,Indians,216,1195,60.8%,54385,355
BITSILLY,Indians,216,1195,97.3%,79676,222
LARA,Indians,215,1202,0.4%,501,59731
PETERSEN,Indians,215,1202,0.4%,543,55185
JACOBSON,Indians,215,1202,0.5%,695,44874
MCLEOD,Indians,215,1202,0.7%,1088,29423
LOCKE,Indians,215,1202,0.8%,1210,26516
MCKINLEY,Indians,215,1202,0.9%,1410,23124
HANLEY,Indians,215,1202,1.1%,1718,19160
CREE,Indians,215,1202,12.9%,15984,1668
CLAIRMONT,Indians,215,1202,15.8%,18682,1359
HURST,Indians,214,1211,0.5%,702,44587
MORSE,Indians,214,1211,0.5%,762,41112
PENNINGTON,Indians,214,1211,0.5%,779,40339
BRITT,Indians,214,1211,0.7%,1059,30200
IVEY,Indians,214,1211,0.9%,1452,22552
EPPS,Indians,214,1211,1.1%,1747,18780
KETCHUM,Indians,214,1211,2.6%,3960,8229
GACHUPIN,Indians,214,1211,71.6%,62577,299
THUNDERHAWK,Indians,214,1211,89.2%,74957,240
SMALLCANYON,Indians,214,1211,97.7%,80502,219
SHAFFER,Indians,213,1221,0.4%,505,59227
HARRELL,Indians,213,1221,0.4%,638,48471
BEACH,Indians,213,1221,0.7%,1071,29940
HOGUE,Indians,213,1221,1.4%,2159,15442
DESJARLAIS,Indians,213,1221,20.5%,22983,1039
BATTIEST,Indians,213,1221,57.9%,52827,368
LADUCER,Indians,213,1221,77.7%,67317,274
LITTLEWOLF,Indians,213,1221,85.9%,72905,248
MCCARTHY,Indians,211,1229,0.3%,348,81035
RICHMOND,Indians,211,1229,0.6%,882,35715
JUSTICE,Indians,211,1229,0.7%,1032,30956
PETTIT,Indians,211,1229,1.1%,1761,18653
MCLEMORE,Indians,211,1229,2.0%,3157,10448
LASLEY,Indians,211,1229,5.1%,7409,4149
MARTINE,Indians,211,1229,8.8%,11954,2397
DEERE,Indians,211,1229,12.6%,15889,1681
LORETTO,Indians,211,1229,40.7%,39824,519
WALKINGSTICK,Indians,211,1229,62.6%,56687,337
GOSEYUN,Indians,211,1229,95.9%,80216,220
WASSILLIE,Indians,211,1229,98.6%,82019,214
PAYTON,Indians,210,1241,0.9%,1440,22773
BUTCHER,Indians,210,1241,1.0%,1478,22077
ESCALANTE,Indians,210,1241,1.5%,2365,14032
CREEL,Indians,210,1241,2.5%,3838,8500
LAFOUNTAIN,Indians,210,1241,6.0%,8650,3498
JOAQUIN,Indians,210,1241,8.1%,11214,2592
BETTELYOUN,Indians,210,1241,67.5%,60557,311
POURIER,Indians,210,1241,77.8%,68172,270
ALI,Indians,209,1249,0.6%,876,36079
BAIRD,Indians,209,1249,0.6%,935,34233
BOGGS,Indians,209,1249,0.8%,1156,27822
DEMPSEY,Indians,209,1249,0.8%,1215,26403
CHIQUITO,Indians,209,1249,30.8%,32059,679
SWIMMER,Indians,209,1249,43.3%,42289,483
SIXKILLER,Indians,209,1249,54.4%,51024,384
GUIDRY,Indians,208,1256,1.0%,1645,19967
BROWER,Indians,208,1256,1.4%,2232,14930
WILBER,Indians,208,1256,3.5%,5348,5996
GARFIELD,Indians,208,1256,4.8%,7163,4296
FEATHER,Indians,208,1256,8.2%,11433,2528
WALDEN,Indians,207,1261,0.9%,1343,24122
QUEEN,Indians,207,1261,1.2%,1847,17881
BENEDICT,Indians,207,1261,1.2%,1964,16846
SMOKE,Indians,207,1261,16.3%,19672,1268
WALSH,Indians,206,1265,0.2%,265,103216
KNAPP,Indians,206,1265,0.5%,760,41267
LEDFORD,Indians,206,1265,1.1%,1807,18264
DEGROAT,Indians,206,1265,8.2%,11464,2520
DECLAY,Indians,206,1265,94.9%,81100,217
HASKIE,Indians,206,1265,95.8%,81700,215
BAUER,Indians,205,1271,0.3%,484,61979
NIELSEN,Indians,205,1271,0.5%,765,41007
MCFARLAND,Indians,205,1271,0.5%,782,40244
CLEMENTS,Indians,205,1271,0.6%,843,37237
BILLINGS,Indians,205,1271,0.9%,1509,21764
FLOOD,Indians,205,1271,1.2%,1998,16652
DEWEY,Indians,205,1271,1.7%,2716,12174
LITTLEMAN,Indians,205,1271,85.1%,74675,241
MULLEN,Indians,204,1279,0.6%,867,36442
DOWNS,Indians,204,1279,0.6%,955,33494
HATFIELD,Indians,204,1279,0.6%,956,33464
NEWELL,Indians,204,1279,0.7%,1021,31317
HOLCOMB,Indians,204,1279,0.7%,1120,28668
ALLARD,Indians,204,1279,2.1%,3392,9657
PINE,Indians,204,1279,3.1%,4937,6537
ALLERY,Indians,204,1279,67.3%,61855,303
VALENTINE,Indians,203,1287,0.5%,834,37669
MADDOX,Indians,203,1287,0.6%,906,34970
LANCASTER,Indians,203,1287,0.6%,1009,31686
LAFFERTY,Indians,203,1287,2.0%,3283,10014
PAQUIN,Indians,203,1287,5.2%,7911,3882
SWEET,Indians,202,1292,0.7%,1111,28872
BRITTON,Indians,202,1292,0.7%,1147,28001
EDDY,Indians,202,1292,1.1%,1710,19230
KELSEY,Indians,202,1292,1.5%,2397,13849
CORN,Indians,202,1292,3.0%,4847,6643
BELIN,Indians,202,1292,10.3%,14101,1958
GREYEYES,Indians,202,1292,91.4%,79958,221
TSINNIE,Indians,202,1292,98.5%,84968,205
NAVARRO,Indians,200,1300,0.3%,388,73970
WALTER,Indians,200,1300,0.4%,651,47615
SPENCE,Indians,200,1300,0.6%,928,34435
METCALF,Indians,200,1300,0.8%,1381,23540
GOODE,Indians,200,1300,0.9%,1553,21226
LIGHTFOOT,Indians,200,1300,2.4%,3982,8190
YOUNGBEAR,Indians,200,1300,91.3%,80502,219
TODACHEENIE,Indians,200,1300,95.7%,83618,209
HAYS,Indians,199,1308,0.6%,964,33194
BRIGHT,Indians,199,1308,0.6%,992,32042
STREET,Indians,199,1308,1.0%,1701,19322
CARL,Indians,199,1308,1.7%,2746,12060
PEMBERTON,Indians,199,1308,1.8%,3065,10842
MOONEY,Indians,198,1313,0.6%,968,32953
WITT,Indians,198,1313,0.6%,1020,31360
PIGEON,Indians,198,1313,12.2%,16293,1628
POOLE,Indians,197,1316,0.4%,549,54706
TAPIA,Indians,197,1316,0.5%,845,37201
GODFREY,Indians,197,1316,0.7%,1159,27700
BRANDON,Indians,197,1316,0.8%,1260,25600
OAKES,Indians,197,1316,1.2%,1943,17008
TORIVIO,Indians,197,1316,67.7%,64008,291
TRAVERSIE,Indians,197,1316,70.1%,65862,281
TABAHA,Indians,197,1316,98.5%,86657,200
HORNE,Indians,196,1324,0.5%,873,36288
WOODWARD,Indians,196,1324,0.5%,875,36242
ODOM,Indians,196,1324,0.6%,953,33717
DYE,Indians,196,1324,0.7%,1163,27627
MANLEY,Indians,196,1324,0.8%,1288,25159
BUCKNER,Indians,196,1324,0.8%,1376,23645
SUMNER,Indians,196,1324,1.1%,1851,17837
ADDISON,Indians,196,1324,1.2%,2019,16474
STUMP,Indians,196,1324,1.4%,2340,14171
PHILLIP,Indians,196,1324,3.3%,5351,5994
JIMMY,Indians,196,1324,59.9%,58130,327
WHITEROCK,Indians,196,1324,89.1%,80216,220
ALTAHA,Indians,196,1324,90.3%,81100,217
CALHOUN,Indians,195,1337,0.5%,757,41452
GILES,Indians,195,1337,0.5%,805,39002
BEST,Indians,195,1337,0.5%,855,36862
DODD,Indians,195,1337,0.6%,1065,30029
CLEMENT,Indians,195,1337,0.8%,1398,23233
PEASE,Indians,195,1337,1.5%,2592,12828
HOPSON,Indians,195,1337,1.6%,2748,12050
JAY,Indians,195,1337,2.0%,3349,9771
SORRELL,Indians,195,1337,2.4%,3990,8170
GATEWOOD,Indians,195,1337,2.4%,4096,7999
AMERICANHORSE,Indians,195,1337,89.9%,81100,217
BERG,Indians,194,1348,0.4%,637,48480
POE,Indians,194,1348,0.8%,1433,22865
NIX,Indians,194,1348,0.9%,1437,22814
CARVER,Indians,193,1351,0.6%,1014,31566
REEDER,Indians,193,1351,1.0%,1750,18768
JULIAN,Indians,193,1351,1.3%,2277,14625
CHAMPAGNE,Indians,193,1351,1.7%,2902,11369
DALLAS,Indians,193,1351,2.2%,3698,8811
LAROCHE,Indians,193,1351,3.6%,5911,5361
LUDLOW,Indians,193,1351,5.2%,8183,3729
VANDEVER,Indians,193,1351,15.9%,20382,1212
MOUSE,Indians,193,1351,33.7%,36807,572
REDCLOUD,Indians,193,1351,76.6%,72022,252
PETTY,Indians,192,1361,0.6%,933,34278
SWIFT,Indians,192,1361,0.8%,1372,23685
ROOT,Indians,192,1361,1.0%,1641,20001
HAWLEY,Indians,192,1361,1.2%,2005,16578
CONDON,Indians,192,1361,1.5%,2620,12690
NOAH,Indians,192,1361,3.9%,6368,4923
EAGLEMAN,Indians,192,1361,62.7%,61376,306
LITTLEDOG,Indians,192,1361,96.0%,86657,200
BENALLIE,Indians,192,1361,96.0%,86657,200
FRANCO,Indians,191,1370,0.4%,571,53161
PEARCE,Indians,191,1370,0.6%,1054,30276
WOMACK,Indians,191,1370,0.7%,1194,26890
SHERWOOD,Indians,191,1370,0.9%,1567,20998
LAY,Indians,191,1370,1.1%,1832,17979
BRANHAM,Indians,191,1370,1.4%,2446,13550
KINSEL,Indians,191,1370,15.0%,19629,1271
WHITEBIRD,Indians,191,1370,72.9%,69854,262
MILLIGAN,Indians,190,1378,0.9%,1497,21887
PECK,Indians,189,1379,0.5%,796,39432
STUART,Indians,189,1379,0.5%,883,35701
WILDER,Indians,189,1379,0.6%,1067,30023
HAINES,Indians,189,1379,0.7%,1102,29065
GAUTHIER,Indians,189,1379,1.2%,2025,16419
REDFOX,Indians,189,1379,77.5%,73931,244
DOTSON,Indians,188,1385,0.6%,1004,31784
CAMP,Indians,188,1385,0.6%,1087,29432
STILL,Indians,188,1385,1.6%,2781,11929
NICK,Indians,188,1385,6.0%,9512,3136
ETHELBAH,Indians,188,1385,91.7%,84968,205
COWBOY,Indians,188,1385,92.2%,85297,204
OCONNOR,Indians,187,1391,0.3%,385,74756
COWAN,Indians,187,1391,0.6%,985,32242
WELSH,Indians,187,1391,0.6%,1097,29217
CUMMINS,Indians,187,1391,0.9%,1633,20072
CHEEK,Indians,187,1391,1.2%,2140,15566
SAYERS,Indians,187,1391,2.5%,4431,7403
RACINE,Indians,187,1391,4.2%,6899,4488
DEDMAN,Indians,187,1391,15.8%,20785,1181
HORSE,Indians,187,1391,66.5%,65862,281
WALKINGEAGLE,Indians,187,1391,96.4%,88825,194
MEJIA,Indians,186,1401,0.3%,448,66534
GALLOWAY,Indians,186,1401,0.6%,951,33773
TATUM,Indians,186,1401,0.8%,1395,23300
SAMUEL,Indians,186,1401,1.0%,1711,19225
GOAD,Indians,186,1401,2.1%,3661,8913
CANDELARIA,Indians,186,1401,2.6%,4526,7208
WHITEFEATHER,Indians,186,1401,85.7%,81100,217
BARRY,Indians,185,1408,0.4%,691,45044
BAUTISTA,Indians,185,1408,0.5%,830,37847
ABRAHAM,Indians,185,1408,0.7%,1250,25729
TEAGUE,Indians,185,1408,0.8%,1371,23731
SNEED,Indians,185,1408,1.1%,1963,16855
CHESTER,Indians,185,1408,1.3%,2281,14595
LAPLANTE,Indians,185,1408,2.7%,4650,6971
MONTE,Indians,185,1408,4.3%,7228,4257
MORSETTE,Indians,185,1408,65.1%,65298,284
DUPRIS,Indians,185,1408,78.7%,76208,235
VAUGHAN,Indians,184,1418,0.5%,837,37591
FAULKNER,Indians,184,1418,0.5%,896,35389
CAGLE,Indians,184,1418,1.1%,1898,17380
DANFORTH,Indians,184,1418,4.3%,7249,4243
KLEIN,Indians,183,1422,0.2%,359,79685
MIDDLETON,Indians,183,1422,0.4%,771,40708
MAYS,Indians,183,1422,0.5%,809,38914
CASH,Indians,183,1422,0.6%,1123,28572
WORLEY,Indians,183,1422,0.7%,1271,25407
GRIGGS,Indians,183,1422,0.8%,1369,23756
STACY,Indians,183,1422,1.0%,1782,18461
LEAVITT,Indians,183,1422,1.5%,2702,12223
LOVEJOY,Indians,183,1422,2.3%,4032,8090
ANTOINE,Indians,183,1422,2.4%,4321,7606
LEMIEUX,Indians,183,1422,2.5%,4456,7334
BUZZARD,Indians,183,1422,5.4%,8907,3379
REDBEAR,Indians,183,1422,85.9%,82344,213
AVILA,Indians,182,1435,0.3%,421,69843
MCCLAIN,Indians,182,1435,0.4%,688,45560
RITCHIE,Indians,182,1435,0.6%,1131,28397
DENTON,Indians,182,1435,0.7%,1187,27112
SINCLAIR,Indians,182,1435,0.7%,1239,26014
STOVER,Indians,182,1435,0.7%,1313,24613
BOLIN,Indians,182,1435,1.4%,2577,12895
SHAY,Indians,182,1435,2.0%,3513,9302
ARMIJO,Indians,182,1435,2.4%,4393,7465
TEEHEE,Indians,182,1435,63.0%,64385,289
MCGESHICK,Indians,182,1435,85.0%,82019,214
ANTELOPE,Indians,182,1435,94.8%,89549,192
MCCALL,Indians,181,1447,0.4%,761,41231
DORSEY,Indians,181,1447,0.4%,763,41104
MACKEY,Indians,181,1447,0.6%,1075,29718
LOTT,Indians,181,1447,0.7%,1291,25118
WING,Indians,181,1447,1.5%,2670,12453
RIVAS,Indians,180,1452,0.3%,553,54588
MEADOWS,Indians,180,1452,0.4%,725,42884
COUCH,Indians,180,1452,0.7%,1231,26135
TIDWELL,Indians,180,1452,0.9%,1595,20681
LUKE,Indians,180,1452,1.1%,1940,17016
FREDERICKS,Indians,180,1452,2.4%,4386,7486
TINKER,Indians,180,1452,3.1%,5430,5898
EDISON,Indians,180,1452,4.7%,7951,3860
JIRON,Indians,180,1452,8.2%,12897,2187
ROLLINS,Indians,179,1461,0.5%,949,33797
GIVENS,Indians,179,1461,0.8%,1364,23823
LAUGHLIN,Indians,179,1461,1.1%,2062,16097
HARLAN,Indians,179,1461,1.7%,3084,10775
DEER,Indians,179,1461,6.8%,11044,2640
VERRET,Indians,179,1461,8.7%,13548,2056
TARBELL,Indians,179,1461,11.8%,17214,1516
STANDS,Indians,179,1461,53.6%,57090,334
BLACKHORSE,Indians,179,1461,91.8%,88461,195
CLITSO,Indians,179,1461,97.8%,93006,183
DUFFY,Indians,178,1471,0.5%,827,37962
HELMS,Indians,178,1471,0.6%,1074,29727
DEWITT,Indians,178,1471,0.7%,1268,25448
COFFMAN,Indians,178,1471,0.7%,1304,24733
MASTERS,Indians,178,1471,0.8%,1412,23106
WHITING,Indians,178,1471,1.1%,2116,15719
BOB,Indians,178,1471,14.5%,20180,1228
BEATTY,Indians,177,1478,0.7%,1283,25245
GROVES,Indians,177,1478,0.7%,1336,24260
GILLIS,Indians,177,1478,1.0%,1786,18438
SMALLWOOD,Indians,177,1478,1.0%,1811,18227
STGERMAINE,Indians,177,1478,22.5%,28548,786
KINGFISHER,Indians,177,1478,81.9%,81414,216
GOSS,Indians,176,1484,0.7%,1266,25464
SHERIDAN,Indians,176,1484,0.8%,1521,21668
LIND,Indians,176,1484,1.2%,2316,14302
SHELL,Indians,176,1484,1.3%,2523,13143
KEENER,Indians,176,1484,1.3%,2545,13046
APPLE,Indians,176,1484,2.6%,4698,6898
GARDIPEE,Indians,176,1484,39.0%,44821,451
VICENTI,Indians,176,1484,67.2%,69854,262
LITTLEBEAR,Indians,176,1484,75.9%,76946,232
CHEROMIAH,Indians,176,1484,93.1%,90652,189
CAMPOS,Indians,175,1494,0.3%,420,69950
DUKE,Indians,175,1494,0.5%,952,33745
LINDSAY,Indians,175,1494,0.6%,1008,31744
THORNE,Indians,175,1494,1.0%,1812,18222
CHANCE,Indians,175,1494,1.3%,2441,13586
LAMONT,Indians,175,1494,2.7%,4955,6511
DECORAH,Indians,175,1494,69.4%,72022,252
FIGUEROA,Indians,174,1501,0.2%,398,72533
MCINTYRE,Indians,174,1501,0.4%,742,42335
BENTLEY,Indians,174,1501,0.4%,814,38714
KAY,Indians,174,1501,0.8%,1402,23189
BURR,Indians,174,1501,1.2%,2253,14839
MENARD,Indians,174,1501,1.6%,3027,10973
LENTE,Indians,174,1501,50.4%,55609,345
CHIEF,Indians,174,1501,86.1%,85996,202
SANTIAGO,Indians,173,1509,0.2%,302,90967
BOLTON,Indians,173,1509,0.5%,994,31995
TYSON,Indians,173,1509,0.6%,1152,27911
LINTON,Indians,173,1509,1.3%,2428,13660
PRIMEAUX,Indians,173,1509,8.9%,14236,1934
STCLAIRE,Indians,173,1509,21.6%,28166,800
SOAP,Indians,173,1509,72.7%,75466,238
STANDINGBEAR,Indians,173,1509,93.0%,91801,186
BYERS,Indians,172,1517,0.5%,1022,31299
RATLIFF,Indians,172,1517,0.6%,1099,29142
MAYFIELD,Indians,172,1517,0.6%,1100,29136
CLEMONS,Indians,172,1517,0.7%,1282,25265
ELKINS,Indians,172,1517,0.7%,1356,23953
HURT,Indians,172,1517,0.8%,1584,20753
MCCORD,Indians,172,1517,1.0%,1918,17216
KEENE,Indians,172,1517,1.0%,1925,17161
GADDY,Indians,172,1517,2.2%,4138,7926
BUCKMAN,Indians,172,1517,2.9%,5389,5948
IGNACIO,Indians,172,1517,3.9%,7017,4405
SINGLETON,Indians,171,1528,0.3%,584,51797
SHANNON,Indians,171,1528,0.4%,693,44902
FORBES,Indians,171,1528,0.5%,986,32228
COATS,Indians,171,1528,1.1%,2185,15265
BURNSIDE,Indians,171,1528,2.0%,3854,8470
ROAN,Indians,171,1528,5.1%,9027,3330
MOUNTAIN,Indians,171,1528,5.3%,9310,3215
MARACLE,Indians,171,1528,42.5%,49159,402
GOODLUCK,Indians,171,1528,49.1%,55237,348
REDELK,Indians,171,1528,76.3%,79115,224
GALLAGHER,Indians,170,1538,0.2%,433,68075
JARVIS,Indians,170,1538,0.5%,939,34050
HELTON,Indians,170,1538,0.7%,1310,24624
WINN,Indians,170,1538,0.8%,1532,21566
GRAYSON,Indians,170,1538,1.1%,2054,16158
BLAINE,Indians,170,1538,2.8%,5231,6131
SILK,Indians,170,1538,6.2%,10657,2755
DRAPEAU,Indians,170,1538,13.3%,19526,1279
LAROQUE,Indians,170,1538,23.2%,30199,732
BLACKGOAT,Indians,170,1538,96.0%,95567,177
ZAMORA,Indians,169,1548,0.4%,684,45806
WOOTEN,Indians,169,1548,0.6%,1060,30185
HARDEN,Indians,169,1548,0.7%,1284,25241
GEE,Indians,169,1548,0.7%,1363,23826
CARTWRIGHT,Indians,169,1548,0.8%,1522,21654
KEYS,Indians,169,1548,1.0%,1860,17763
COURNOYER,Indians,169,1548,7.1%,11954,2397
KANUHO,Indians,169,1548,96.6%,96480,175
MCCULLOUGH,Indians,168,1556,0.4%,708,44123
PACE,Indians,168,1556,0.4%,807,38975
COURTNEY,Indians,168,1556,0.6%,1202,26668
OTT,Indians,168,1556,0.7%,1265,25492
HARE,Indians,168,1556,1.1%,2114,15739
MAIN,Indians,168,1556,1.3%,2629,12631
COUNTS,Indians,168,1556,1.8%,3420,9584
PETTIGREW,Indians,168,1556,2.2%,4379,7500
FOURKILLER,Indians,168,1556,84.0%,86657,200
AYERS,Indians,167,1565,0.4%,812,38836
POLLARD,Indians,167,1565,0.5%,937,34079
PUCKETT,Indians,167,1565,0.6%,1153,27891
SWAIN,Indians,167,1565,0.7%,1338,24220
ALONZO,Indians,167,1565,1.0%,2038,16326
HARWOOD,Indians,167,1565,1.5%,2973,11138
CARMAN,Indians,167,1565,1.5%,3003,11048
HAMMONS,Indians,167,1565,1.5%,3021,11008
LACROIX,Indians,167,1565,2.2%,4321,7606
VANDUNK,Indians,167,1565,23.9%,31389,698
HERNE,Indians,167,1565,29.6%,37200,564
STIFFARM,Indians,167,1565,86.1%,88825,194
SECATERO,Indians,167,1565,98.2%,98770,170
KIDD,Indians,166,1578,0.5%,998,31886
DILLARD,Indians,166,1578,0.6%,1062,30118
AKERS,Indians,166,1578,0.7%,1330,24353
LEVI,Indians,166,1578,2.5%,4915,6569
DRY,Indians,166,1578,5.4%,9708,3070
CONCHA,Indians,166,1578,10.3%,16436,1612
EBARB,Indians,166,1578,13.9%,20578,1197
APACHE,Indians,166,1578,77.6%,82019,214
YELLOW,Indians,166,1578,79.4%,83618,209
BIGEAGLE,Indians,166,1578,87.8%,90652,189
HEBERT,Indians,165,1588,0.4%,781,40283
COVINGTON,Indians,165,1588,0.6%,1272,25403
PAINTER,Indians,165,1588,0.8%,1514,21725
PINA,Indians,165,1588,0.9%,1692,19399
GIPSON,Indians,165,1588,0.9%,1803,18289
DIVER,Indians,165,1588,12.0%,18492,1378
NEPHEW,Indians,165,1588,13.5%,20270,1221
ERIACHO,Indians,165,1588,94.3%,96480,175
PARK,Indians,164,1596,0.2%,343,81890
RUTLEDGE,Indians,164,1596,0.6%,1241,26010
WOODRUFF,Indians,164,1596,0.6%,1258,25626
AMES,Indians,164,1596,0.8%,1499,21855
MONTANO,Indians,163,1600,0.8%,1562,21110
PEACOCK,Indians,163,1600,0.8%,1564,21106
HONEYCUTT,Indians,163,1600,1.0%,2036,16330
DION,Indians,163,1600,2.0%,3995,8160
VICENTE,Indians,163,1600,2.6%,5049,6374
ESQUIBEL,Indians,163,1600,3.5%,6629,4708
CADMAN,Indians,163,1600,13.5%,20397,1211
POYER,Indians,163,1600,19.6%,27344,831
SKEETS,Indians,163,1600,66.8%,73931,244
BIGHORSE,Indians,163,1600,86.2%,90652,189
BIGCROW,Indians,163,1600,96.4%,99214,169
VILLA,Indians,162,1611,0.4%,797,39402
BRANCH,Indians,162,1611,0.5%,967,33040
HEWITT,Indians,162,1611,0.6%,1114,28857
ABRAMS,Indians,162,1611,0.6%,1295,24961
MEAD,Indians,162,1611,0.7%,1494,21919
WESTBROOK,Indians,162,1611,0.8%,1660,19781
EASLEY,Indians,162,1611,1.0%,2094,15902
SEALS,Indians,162,1611,1.1%,2222,15020
AMMONS,Indians,162,1611,1.9%,3828,8522
VELARDE,Indians,162,1611,2.5%,5056,6367
OLDMAN,Indians,162,1611,48.6%,57252,333
JUMBO,Indians,162,1611,53.3%,61713,304
BLUEBIRD,Indians,162,1611,93.1%,96918,174
GORE,Indians,161,1624,0.7%,1326,24449
HORNER,Indians,161,1624,0.7%,1393,23308
LILLY,Indians,161,1624,0.7%,1511,21742
PACK,Indians,161,1624,0.9%,1772,18538
CRAIN,Indians,161,1624,0.9%,1934,17110
LOONEY,Indians,161,1624,1.2%,2568,12955
RAGSDALE,Indians,161,1624,1.3%,2708,12195
LAZORE,Indians,161,1624,53.7%,62396,300
CONNOR,Indians,160,1632,0.6%,1138,28107
WEBBER,Indians,160,1632,0.6%,1228,26178
EDMONDS,Indians,160,1632,0.7%,1339,24210
SPRAGUE,Indians,160,1632,0.7%,1466,22283
ISAACS,Indians,160,1632,1.1%,2306,14379
VIVIER,Indians,160,1632,26.5%,35342,603
KISTO,Indians,160,1632,79.6%,86341,201
TESSAY,Indians,160,1632,95.2%,99725,168
NOEL,Indians,159,1640,0.6%,1130,28401
HUTCHINS,Indians,159,1640,0.6%,1257,25633
COTE,Indians,159,1640,0.8%,1575,20894
CHRISTIANSEN,Indians,159,1640,0.9%,1760,18676
TACKETT,Indians,159,1640,0.9%,1800,18332
PRESLEY,Indians,159,1640,0.9%,1866,17687
LOFTON,Indians,159,1640,1.2%,2507,13212
HAIR,Indians,159,1640,1.9%,3959,8231
TRACEY,Indians,159,1640,2.0%,4065,8046
SUAZO,Indians,159,1640,3.8%,7430,4133
GOURD,Indians,159,1640,33.5%,42983,474
GUARDIPEE,Indians,159,1640,70.4%,78549,226
LITTLETHUNDER,Indians,159,1640,89.8%,95567,177
JUAREZ,Indians,158,1653,0.2%,429,68785
KRAMER,Indians,158,1653,0.3%,474,63023
BRUNO,Indians,158,1653,0.5%,1119,28729
ROE,Indians,158,1653,0.6%,1307,24699
SHADE,Indians,158,1653,2.3%,4674,6940
COHO,Indians,158,1653,52.8%,62577,299
SECODY,Indians,158,1653,97.5%,102691,162
BITSUIE,Indians,158,1653,97.5%,102691,162
SHOEMAKER,Indians,157,1661,0.5%,1040,30756
BARTLEY,Indians,157,1661,1.0%,2055,16154
DIONNE,Indians,157,1661,2.4%,4996,6443
SWALLOW,Indians,157,1661,5.3%,10062,2954
LAUGHTER,Indians,157,1661,8.1%,14158,1947
SPANG,Indians,157,1661,10.2%,17001,1540
ROCHA,Indians,156,1667,0.4%,744,42139
GALVAN,Indians,156,1667,0.4%,788,40046
DONALDSON,Indians,156,1667,0.4%,897,35387
KAISER,Indians,156,1667,0.5%,977,32567
KIRKLAND,Indians,156,1667,0.5%,1107,28937
RODRIQUEZ,Indians,156,1667,0.6%,1217,26377
HAND,Indians,156,1667,0.7%,1481,22034
RHOADES,Indians,156,1667,0.9%,1838,17952
MONTANA,Indians,156,1667,3.7%,7286,4217
JUNE,Indians,156,1667,4.0%,7954,3859
BRAVE,Indians,156,1667,25.9%,35387,602
